Month,Aggravated Assault Offenses,Aggravated Assault Clearances,Homicide Offenses,Homicide Clearances,Rape Offenses,Rape Clearances,Robbery Offenses,Robbery Clearances
03-2021,13,6,1,2,0,1,3,2
04-2021,18,13,0,0,3,0,7,3
05-2021,37,17,0,0,6,0,4,3
06-2021,46,22,0,0,3,3,5,2
07-2021,43,15,0,0,3,0,7,4
08-2021,26,10,0,0,4,0,9,1
09-2021,23,11,0,0,6,1,4,1
10-2021,42,25,0,0,4,1,10,6
11-2021,31,16,1,0,3,0,3,2
12-2021,33,10,0,0,5,0,6,3
01-2022,25,16,0,0,4,2,2,2
02-2022,30,14,1,1,2,2,6,3
03-2022,25,8,0,0,4,2,4,2
04-2022,32,20,1,0,8,1,5,1
05-2022,34,19,1,1,3,1,5,4
06-2022,18,13,0,0,3,1,4,2
07-2022,27,20,1,0,4,0,7,2
08-2022,19,11,0,0,11,1,5,2
09-2022,23,11,0,0,7,2,7,4
10-2022,29,21,0,0,7,2,4,5
11-2022,11,10,0,0,4,2,4,2
12-2022,11,10,0,0,2,1,6,1
01-2023,22,10,0,0,5,0,0,0
02-2023,21,17,0,0,9,2,2,1
03-2023,14,2,0,0,2,0,1,1
4-2023,13,7,0,1,2,1,4,3
5-2023,16,14,0,0,5,2,3,2
6-2023,20,14,0,0,9,2,0,0
07-2023,18,7,0,0,4,1,6,0
08-2023,19,11,0,0,5,3,5,3
09-2023,18,8,0,0,5,0,9,2
10-2023,33,11,0,0,5,0,10,10
11-2023,5,5,0,0,2,0,1,1
12-2023,13,10,2,2,2,2,5,3
01-2024,11,8,1,1,0,0,2,2
02-2024,5,2,0,0,6,2,6,1
03-2024,17,11,0,0,4,1,4,1
4-2024,12,7,0,0,9,2,5,2
5-2024,13,9,1,1,2,1,5,1
6-2024,13,3,0,0,3,0,3,0
07-2024,22,11,0,0,7,2,2,0
08-2024,9,4,1,1,3,2,5,2
09-2024,7,5,0,0,5,1,6,2
10-2024,9,4,0,0,3,1,1,3
11-2024,11,9,0,0,5,1,4,1
12-2024,3,2,0,0,2,0,1,1
01-2025,4,2,1,0,4,0,2,0
02-2025,8,6,0,0,3,0,1,1
03-2025,20,9,0,0,4,1,4,2
4-2025,11,6,0,0,4,0,2,2
5-2025,17,9,0,0,0,2,11,4
6-2025,9,6,0,0,2,0,0,0
07-2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
08-2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
09-2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10-2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12-2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
01-2026,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
02-2026,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
03-2026,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
