Month,Aggravated Assault Offenses,Aggravated Assault Clearances,Homicide Offenses,Homicide Clearances,Rape Offenses,Rape Clearances,Robbery Offenses,Robbery Clearances
03-2021,52,4,0,0,6,0,4,0
04-2021,96,17,1,0,11,0,7,2
05-2021,70,10,0,0,6,0,14,3
06-2021,49,13,1,0,6,2,2,1
07-2021,40,15,3,0,7,0,3,0
08-2021,51,20,1,0,12,0,0,0
09-2021,36,9,0,0,5,0,6,2
10-2021,20,4,2,0,3,0,8,1
11-2021,22,5,0,0,2,0,9,4
12-2021,50,15,1,1,9,0,6,2
01-2022,53,22,0,0,3,0,3,1
02-2022,32,12,0,0,2,0,5,2
03-2022,29,20,1,0,5,0,4,0
04-2022,67,22,1,1,7,0,5,1
05-2022,26,9,0,0,3,0,2,0
06-2022,57,18,0,0,3,0,6,1
07-2022,56,17,3,1,11,0,4,0
08-2022,58,26,2,2,9,1,6,2
09-2022,49,24,0,1,12,0,5,0
10-2022,7,3,0,0,0,0,0,0
11-2022,31,6,0,0,5,0,8,1
12-2022,33,14,0,0,5,0,8,1
01-2023,24,1,1,1,5,0,4,0
02-2023,10,5,0,0,0,0,2,0
03-2023,12,6,0,0,3,0,1,0
04-2023,33,9,0,0,7,0,2,0
05-2023,42,19,0,0,8,1,4,1
06-2023,29,12,2,1,4,0,3,0
07-2023,37,9,2,0,5,0,7,3
08-2023,28,9,0,0,7,1,2,0
09-2023,27,13,0,0,3,0,2,0
10-2023,8,5,0,0,4,1,4,0
11-2023,20,7,0,0,2,1,6,3
12-2023,14,7,0,0,9,0,2,1
01-2024,16,5,0,0,0,0,12,4
02-2024,19,8,1,1,4,1,6,1
03-2024,22,8,0,0,7,2,9,2
04-2024,14,7,0,0,5,1,6,1
05-2024,32,4,1,0,7,1,6,1
06-2024,25,8,2,0,5,1,8,2
07-2024,28,9,2,0,9,1,4,1
08-2024,25,7,0,0,5,4,6,0
09-2024,28,10,0,0,8,1,6,1
10-2024,34,11,0,0,4,2,8,4
11-2024,24,10,1,1,2,0,4,3
12-2024,29,10,1,0,9,2,8,4
01-2025,18,8,1,0,9,3,6,3
02-2025,18,9,0,0,2,4,2,1
03-2025,19,6,1,1,7,2,3,0
04-2025,24,9,0,0,8,3,4,0
05-2025,18,6,0,0,6,2,1,0
06-2025,30,8,2,0,3,2,3,1
07-2025,19,1,1,0,1,1,6,4
08-2025,12,4,1,1,2,0,5,1
09-2025,20,10,0,0,7,5,4,0
10-2025,21,7,0,0,1,3,6,4
11-2025,18,10,1,0,3,1,2,2
12-2025,21,6,0,0,4,1,2,0
01-2026,24,12,0,0,4,1,4,1
02-2026,14,7,0,0,4,1,2,2
03-2026,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
