Month,Aggravated Assault Offenses,Aggravated Assault Clearances,Homicide Offenses,Homicide Clearances,Rape Offenses,Rape Clearances,Robbery Offenses,Robbery Clearances
03-2021,10,4,0,0,3,0,1,0
04-2021,13,5,0,0,1,0,1,0
05-2021,9,0,0,0,0,0,1,0
06-2021,5,1,0,0,0,0,0,0
07-2021,5,2,0,0,2,0,0,0
08-2021,7,3,0,0,5,0,0,1
09-2021,9,1,0,0,3,0,1,0
10-2021,12,1,1,0,2,0,1,0
11-2021,5,2,0,0,2,0,4,0
12-2021,3,0,0,0,2,0,0,0
01-2022,3,2,0,0,5,0,3,2
02-2022,2,1,0,0,2,0,0,0
03-2022,5,1,0,0,0,0,0,0
04-2022,4,1,0,0,2,0,0,0
05-2022,6,1,0,0,4,0,0,0
06-2022,6,1,0,0,2,0,0,0
07-2022,9,3,0,0,0,0,0,0
08-2022,12,5,0,0,2,0,0,0
09-2022,12,2,0,0,7,0,1,0
10-2022,8,1,0,0,3,0,3,0
11-2022,6,2,0,0,4,0,2,0
12-2022,9,0,0,0,3,0,2,0
01-2023,5,2,0,0,0,0,0,0
02-2023,2,1,0,0,1,0,1,0
03-2023,3,2,0,0,2,0,2,1
04-2023,11,2,0,0,1,0,0,0
05-2023,9,5,0,0,0,0,2,1
06-2023,2,1,0,0,1,0,1,0
07-2023,2,2,0,0,1,0,0,0
08-2023,4,4,0,0,1,0,1,0
09-2023,11,4,0,0,4,0,4,0
10-2023,9,1,0,0,1,1,1,0
11-2023,7,2,0,0,2,0,4,2
12-2023,2,1,0,0,2,0,1,0
01-2024,6,2,0,0,1,0,0,0
02-2024,4,1,0,0,0,0,1,0
03-2024,3,3,0,0,2,1,0,0
04-2024,9,1,0,0,1,0,1,1
05-2024,1,0,0,0,0,0,1,0
06-2024,6,0,0,0,2,0,0,0
07-2024,4,3,0,0,1,0,0,0
08-2024,7,2,0,0,1,0,1,0
09-2024,9,3,0,0,1,0,1,0
10-2024,12,1,0,0,2,0,0,0
11-2024,17,6,2,0,6,0,2,0
12-2024,6,1,0,0,1,0,0,1
01-2025,4,1,0,0,1,0,1,0
02-2025,6,1,0,0,0,0,0,0
03-2025,8,3,0,0,1,0,1,0
04-2025,9,1,0,0,0,1,2,0
05-2025,3,1,0,0,2,0,0,0
06-2025,5,2,0,0,0,0,0,0
07-2025,3,1,0,0,1,0,1,0
08-2025,22,7,0,0,1,0,2,0
09-2025,10,7,0,0,0,0,1,0
10-2025,7,4,0,0,1,0,2,0
11-2025,5,3,0,0,2,0,4,1
12-2025,2,0,1,1,0,0,0,0
01-2026,5,3,0,0,1,0,1,0
02-2026,5,2,0,0,2,0,2,0
03-2026,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
