Month,Aggravated Assault Offenses,Aggravated Assault Clearances,Homicide Offenses,Homicide Clearances,Rape Offenses,Rape Clearances,Robbery Offenses,Robbery Clearances
03-2021,3,3,2,0,3,0,12,1
04-2021,0,0,0,0,1,0,6,2
05-2021,5,5,0,0,4,1,8,2
06-2021,3,0,0,0,2,0,4,1
07-2021,1,1,0,0,0,0,7,0
08-2021,3,3,0,0,1,0,3,1
09-2021,7,4,2,1,1,0,4,1
10-2021,5,3,0,0,3,0,9,2
11-2021,3,2,1,0,2,0,3,0
12-2021,1,0,0,1,1,0,5,2
01-2022,1,1,0,0,1,0,4,0
02-2022,0,0,0,1,2,2,8,1
03-2022,0,0,0,0,1,0,6,2
04-2022,2,0,1,1,2,2,7,1
05-2022,2,1,0,0,1,0,9,1
06-2022,2,1,0,0,2,1,4,0
07-2022,6,2,1,1,2,0,6,1
08-2022,3,1,0,0,2,0,5,0
09-2022,2,1,0,0,5,1,5,2
10-2022,1,0,0,0,3,1,9,0
11-2022,7,1,0,0,3,0,5,0
12-2022,1,2,0,0,1,0,8,3
01-2023,2,4,0,0,1,0,7,2
02-2023,2,2,0,0,1,0,2,1
03-2023,0,0,0,0,3,1,4,2
04-2023,6,3,1,1,2,1,3,2
05-2023,3,3,0,0,1,0,6,1
06-2023,6,4,0,0,2,1,8,0
07-2023,1,1,0,0,1,0,7,1
08-2023,5,5,0,0,0,0,10,2
09-2023,2,1,0,0,0,0,4,3
10-2023,5,2,0,0,6,1,1,0
11-2023,2,1,0,0,4,1,4,0
12-2023,5,1,0,0,1,0,7,2
01-2024,0,1,0,0,2,0,3,1
02-2024,2,0,0,0,2,0,1,1
03-2024,1,0,0,0,4,1,1,0
04-2024,4,2,0,0,2,0,3,1
05-2024,5,0,0,0,0,0,2,0
06-2024,6,2,0,0,4,0,4,3
07-2024,4,4,0,0,0,0,9,2
08-2024,7,3,0,0,1,0,4,0
09-2024,2,0,0,0,3,0,4,0
10-2024,5,1,0,0,3,2,5,0
11-2024,3,2,0,0,1,0,4,4
12-2024,2,1,0,0,3,0,1,1
01-2025,0,0,0,0,2,1,2,0
02-2025,2,0,0,0,4,1,1,1
03-2025,2,2,0,0,2,1,0,0
04-2025,4,2,0,0,1,0,0,0
05-2025,1,1,0,0,1,1,3,0
06-2025,8,3,0,0,0,0,1,1
07-2025,10,5,0,0,0,0,5,1
08-2025,3,0,0,0,3,0,1,1
09-2025,7,1,0,0,2,1,1,0
10-2025,2,1,0,0,4,1,2,0
11-2025,2,0,0,0,0,0,1,0
12-2025,4,2,0,0,2,0,1,0
01-2026,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
02-2026,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
03-2026,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
