Month,Aggravated Assault Offenses,Aggravated Assault Clearances,Homicide Offenses,Homicide Clearances,Rape Offenses,Rape Clearances,Robbery Offenses,Robbery Clearances
03-2021,1,0,0,0,0,0,0,0
04-2021,0,0,0,0,1,1,0,0
05-2021,1,1,0,0,3,0,0,0
06-2021,0,0,2,1,2,1,0,0
07-2021,4,0,1,1,6,1,3,0
08-2021,3,1,0,0,3,0,1,0
09-2021,5,2,1,1,2,0,5,1
10-2021,6,3,1,0,4,3,1,1
11-2021,3,5,1,0,3,3,1,1
12-2021,1,0,0,0,3,0,2,1
01-2022,7,2,0,0,5,1,1,0
02-2022,1,0,0,0,2,1,2,1
03-2022,4,1,1,1,3,2,3,1
04-2022,3,1,0,1,4,2,0,0
05-2022,4,4,5,1,6,3,5,4
06-2022,6,4,0,2,2,3,3,1
07-2022,7,3,4,0,2,3,4,3
08-2022,4,1,0,4,8,3,2,1
09-2022,1,1,0,0,2,1,3,1
10-2022,5,5,0,0,3,2,2,3
11-2022,6,1,1,1,2,5,1,0
12-2022,0,1,0,0,4,0,1,0
01-2023,2,1,1,0,1,1,2,0
02-2023,4,1,0,0,2,1,3,1
03-2023,1,1,0,0,8,6,4,4
04-2023,2,1,0,0,4,3,3,2
05-2023,5,7,0,0,5,2,5,2
06-2023,3,3,0,0,4,5,4,1
07-2023,8,5,0,0,2,2,5,1
08-2023,7,5,0,0,4,0,4,1
09-2023,8,4,1,0,5,0,1,1
10-2023,6,5,0,1,1,0,6,2
11-2023,4,4,2,2,2,1,6,3
12-2023,11,7,0,0,2,1,1,2
01-2024,4,3,0,0,1,3,3,3
02-2024,3,3,0,0,0,0,1,1
03-2024,4,3,1,1,1,1,1,0
04-2024,7,5,1,0,3,1,0,0
05-2024,2,2,0,1,5,2,0,0
06-2024,2,2,0,0,5,4,3,2
07-2024,4,3,0,0,4,3,1,0
08-2024,10,10,0,0,6,1,2,1
09-2024,3,3,0,0,5,3,5,0
10-2024,5,0,0,0,2,4,0,0
11-2024,4,3,1,1,1,4,0,0
12-2024,3,6,1,1,0,0,3,0
01-2025,2,1,0,0,2,2,2,0
02-2025,2,2,1,0,2,2,1,2
03-2025,3,1,1,0,0,0,1,1
04-2025,2,2,0,0,2,0,0,0
05-2025,9,6,0,0,1,2,1,0
06-2025,4,6,0,0,3,1,3,1
07-2025,1,1,1,1,3,2,2,0
08-2025,3,1,0,1,0,1,1,0
09-2025,6,3,0,0,2,2,1,0
10-2025,3,4,0,0,1,1,0,0
11-2025,4,3,1,1,1,0,1,0
12-2025,1,1,0,1,3,1,0,0
01-2026,3,3,1,1,0,2,0,0
02-2026,2,2,1,1,0,0,1,0
03-2026,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
