Month,Aggravated Assault Offenses,Aggravated Assault Clearances,Homicide Offenses,Homicide Clearances,Rape Offenses,Rape Clearances,Robbery Offenses,Robbery Clearances
03-2021,16,0,0,0,2,1,6,0
04-2021,12,5,1,1,5,0,2,2
05-2021,25,6,0,0,11,3,3,0
06-2021,12,3,2,2,3,2,2,1
07-2021,17,8,1,0,0,0,14,1
08-2021,17,2,0,1,2,0,11,2
09-2021,19,6,1,1,3,0,26,2
10-2021,17,4,0,0,7,2,16,1
11-2021,11,4,3,3,2,1,13,0
12-2021,20,7,0,0,3,0,14,2
01-2022,20,4,1,1,2,0,15,1
02-2022,16,4,0,0,5,3,9,0
03-2022,15,3,0,0,8,3,29,3
04-2022,33,8,1,0,7,1,21,3
05-2022,18,10,0,0,4,4,27,1
06-2022,16,9,1,1,3,1,22,1
07-2022,18,2,0,0,5,0,31,3
08-2022,14,8,0,0,3,1,17,1
09-2022,25,5,1,1,4,2,17,0
10-2022,17,7,0,0,6,1,10,2
11-2022,9,5,0,0,1,0,7,0
12-2022,12,2,0,0,0,0,12,1
01-2023,19,9,0,0,4,1,10,3
02-2023,10,3,0,0,5,1,13,3
03-2023,31,13,0,0,5,1,10,0
04-2023,22,9,0,0,3,0,36,1
05-2023,21,5,0,0,4,0,40,4
06-2023,18,6,0,0,1,2,19,0
07-2023,22,8,0,0,1,1,40,2
08-2023,16,5,0,0,3,0,14,0
09-2023,21,10,0,0,3,1,24,2
10-2023,30,16,1,0,2,0,11,0
11-2023,29,8,1,0,7,0,10,1
12-2023,13,8,0,0,2,0,15,0
01-2024,18,6,0,0,1,0,13,3
02-2024,22,6,0,0,1,0,28,1
03-2024,16,8,1,0,2,0,12,1
04-2024,16,3,0,0,7,0,7,1
05-2024,21,10,0,0,2,2,10,4
06-2024,17,8,0,0,3,0,17,1
07-2024,25,9,0,0,4,2,16,4
08-2024,23,7,1,1,2,0,3,1
09-2024,23,8,0,0,4,0,14,0
10-2024,15,6,1,0,3,0,13,1
11-2024,15,8,1,1,4,0,10,0
12-2024,12,6,0,0,1,0,19,2
01-2025,13,6,0,0,0,0,4,0
02-2025,18,3,0,0,2,0,1,0
03-2025,14,2,1,0,5,1,5,0
04-2025,9,6,0,1,0,0,9,1
05-2025,16,5,0,1,2,0,10,4
06-2025,14,4,0,0,0,0,7,1
07-2025,16,3,1,0,3,1,4,1
08-2025,13,9,0,0,4,0,3,0
09-2025,19,10,0,0,2,1,4,1
10-2025,3,2,0,0,1,0,4,0
11-2025,5,2,0,0,2,0,0,0
12-2025,1,0,0,0,1,1,5,2
01-2026,5,4,0,0,0,0,0,0
02-2026,8,4,1,0,0,0,2,1
03-2026,0,0,0,0,0,0,0,0
