Month,Aggravated Assault Offenses,Aggravated Assault Clearances,Homicide Offenses,Homicide Clearances,Rape Offenses,Rape Clearances,Robbery Offenses,Robbery Clearances
03-2021,98,27,5,2,16,3,55,12
04-2021,83,17,13,7,14,14,55,13
05-2021,117,51,10,6,13,11,70,12
06-2021,133,29,9,3,18,12,93,15
07-2021,122,32,12,4,17,9,98,13
08-2021,96,18,7,2,24,12,82,6
09-2021,83,17,9,4,18,9,75,37
10-2021,111,33,12,9,15,9,102,22
11-2021,89,22,5,2,8,5,104,14
12-2021,88,8,9,0,6,7,128,24
01-2022,160,50,9,9,23,4,246,30
02-2022,100,30,11,5,23,5,135,17
03-2022,112,44,9,4,24,4,93,24
04-2022,80,16,6,6,11,4,95,20
05-2022,90,19,8,1,17,5,73,10
06-2022,106,24,6,3,22,3,94,9
07-2022,93,22,6,3,17,5,126,12
08-2022,101,27,21,6,10,8,105,25
09-2022,116,28,9,8,16,6,81,39
10-2022,82,16,4,4,12,6,87,21
11-2022,114,20,7,5,14,6,106,18
12-2022,108,29,6,0,15,6,110,25
01-2023,88,34,5,3,14,8,128,20
02-2023,89,28,9,2,16,6,111,32
03-2023,121,37,5,5,13,4,124,37
04-2023,119,27,7,4,13,6,122,25
05-2023,117,26,11,4,26,10,97,19
06-2023,106,23,13,7,16,6,138,24
07-2023,121,28,9,1,21,12,117,12
08-2023,119,28,8,3,16,12,150,31
09-2023,99,22,8,7,16,8,118,23
10-2023,113,27,12,7,21,9,126,23
11-2023,117,20,6,1,24,14,155,26
12-2023,123,33,9,4,13,6,185,70
01-2024,116,32,7,4,11,8,125,47
02-2024,111,36,6,7,12,9,133,35
03-2024,101,29,10,5,12,13,102,29
04-2024,104,32,8,3,17,7,122,38
05-2024,98,23,9,3,20,11,112,30
06-2024,82,31,12,4,15,4,124,18
07-2024,110,35,7,2,18,8,110,38
08-2024,118,39,10,8,15,8,116,25
09-2024,113,51,8,2,24,8,115,14
10-2024,114,36,6,6,27,11,101,19
11-2024,74,23,9,7,6,7,126,61
12-2024,97,35,9,11,15,10,93,43
01-2025,110,33,0,2,13,9,70,15
02-2025,62,36,7,5,14,5,48,13
03-2025,66,40,9,5,17,8,52,22
04-2025,108,33,5,6,12,9,54,21
05-2025,112,37,9,7,19,4,68,20
06-2025,100,32,4,4,16,6,65,28
07-2025,78,46,7,6,14,13,54,18
08-2025,85,27,4,4,11,4,47,10
09-2025,80,36,7,5,23,3,56,21
10-2025,90,56,1,1,10,5,55,16
11-2025,85,38,1,0,10,6,36,21
12-2025,78,28,6,4,11,3,25,9
01-2026,64,24,5,4,18,1,24,7
02-2026,40,24,5,1,5,0,20,4
03-2026,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
