Month,Aggravated Assault Offenses,Aggravated Assault Clearances,Homicide Offenses,Homicide Clearances,Rape Offenses,Rape Clearances,Robbery Offenses,Robbery Clearances
03-2021,44,31,1,2,3,2,2,2
04-2021,48,27,0,1,6,0,2,1
05-2021,47,34,0,0,13,3,1,0
06-2021,67,47,0,0,7,1,5,3
07-2021,63,46,1,1,4,5,5,3
08-2021,31,27,1,0,8,8,2,0
09-2021,32,26,1,0,4,5,7,2
10-2021,57,35,2,0,5,3,6,1
11-2021,37,31,2,0,7,1,4,2
12-2021,37,34,0,0,5,5,3,2
01-2022,31,21,0,0,6,3,8,6
02-2022,47,24,0,1,4,2,2,1
03-2022,41,29,1,1,6,4,0,1
04-2022,39,28,0,0,5,4,2,0
05-2022,51,29,1,1,4,3,3,2
06-2022,64,35,4,2,6,3,2,2
07-2022,53,39,0,0,8,3,3,1
08-2022,42,34,1,1,9,8,1,0
09-2022,50,35,0,0,6,0,4,0
10-2022,67,37,1,1,6,2,6,3
11-2022,50,31,1,0,5,3,4,0
12-2022,51,28,1,2,7,2,4,5
01-2023,40,56,1,0,8,0,4,3
02-2023,35,26,0,0,5,7,1,1
03-2023,47,33,1,1,4,3,1,1
04-2023,36,30,0,0,1,3,1,1
05-2023,77,56,0,1,11,3,0,0
06-2023,36,33,4,3,5,2,3,1
07-2023,44,13,2,3,8,4,9,1
08-2023,41,28,0,0,3,7,3,1
09-2023,36,24,0,0,10,1,4,1
10-2023,56,26,0,1,2,4,4,0
11-2023,37,33,0,1,3,2,4,1
12-2023,53,25,0,0,4,0,1,1
01-2024,39,26,0,0,10,8,2,0
02-2024,48,33,0,0,8,4,2,1
03-2024,43,20,1,0,5,2,1,1
04-2024,45,17,1,0,8,3,3,3
05-2024,78,36,4,4,4,2,2,1
06-2024,43,31,0,0,9,2,8,6
07-2024,40,38,0,1,8,5,2,0
08-2024,47,38,1,0,5,6,2,0
09-2024,46,34,0,1,6,5,0,0
10-2024,45,26,0,0,1,1,2,1
11-2024,41,26,0,0,3,1,3,2
12-2024,24,18,0,0,3,5,2,2
01-2025,45,30,0,0,4,3,2,2
02-2025,24,20,0,0,3,1,3,4
03-2025,42,25,0,0,5,5,1,0
04-2025,36,24,0,0,5,8,3,1
05-2025,45,61,0,0,6,3,1,0
06-2025,41,39,0,0,2,12,3,1
07-2025,28,33,0,0,1,3,5,3
08-2025,30,31,0,0,5,2,4,3
09-2025,44,20,0,0,1,5,1,0
10-2025,22,29,0,0,2,7,4,2
11-2025,35,25,0,0,2,0,1,0
12-2025,36,24,0,0,0,2,2,2
01-2026,30,23,1,0,2,1,0,0
02-2026,25,9,0,0,0,2,0,0
03-2026,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
